subject_id,Day,Month,Year,Inwhatformatisthecollectiondate,Country,Wasthecountrynamespecificallystatedonthelabel,Aregeographiccoordinatespresentonthelabel,Collector1,Collector2,HostInsectoftenprefacedEx,HostPlantoftenprefacedOn,Isthereanindicationofuncertaintyinthehostdata,Isitatypespecimen,BMRegistrationnumber,Day,EndMonth,EndYear,subject_CatalogueIRN,subject_MulIdentifier,subject_MulTitle,subject_MultimediaIRN,subject_EntCatBarcode,subject_SuperFamily,Expo
3327422,22,7 - July - VII,1980,The collection date is shown as a single date.,England,No,No,,,,,No,No,,,,,6500239,010156626_108834_1685214.jpg,010156626_108834_1685214,1482059,10156626,Chalcidoidea,3279
3327424,8,10 - October - X,1981,The collection date is shown as a single date.,England,No,No,S.B.,,,,No,No,,,,,6496833,010156627_108834_1685214.jpg,010156627_108834_1685214,1478605,10156627,Chalcidoidea,3279
3327425,8,10 - October - X,1981,The collection date is shown as a single date.,United Kingdom,No,No,S. B.,,,,,No,,,,,6501602,010156628_108834_1685214.jpg,010156628_108834_1685214,1483423,10156628,Chalcidoidea,3279
3327427,8,10 - October - X,1982,The collection date is shown as a single date.,United Kingdom,No,No,S. B.,,,,No,No,,,,,6494358,010156629_108834_1685214.jpg,010156629_108834_1685214,1476092,10156629,Chalcidoidea,3279
3327428,8,10 - October - X,1982,The collection date is shown as a single date.,United Kingdom,No,No,S.B.,,,,No,No,,Not Shown,10 - October - X,1982,6500671,010156630_108834_1685214.jpg,010156630_108834_1685214,1482491,10156630,Chalcidoidea,3279
3327430,8,10 - October - X,1981,The collection date is shown as a single date.,England,No,No,S. B.,,,,,No,,,,,6495639,010156631_108834_1685214.jpg,010156631_108834_1685214,1477415,10156631,Chalcidoidea,3279
3327431,27,8 - August - VIII,Only two digits shown,The collection date is shown as a single date.,Not Shown,No,No,Fred Enock,,,,,No,1919-185,,,,6496345,010156634_108834_1685214.jpg,010156634_108834_1685214,1478121,10156634,Chalcidoidea,3279
3327432,,,,There is no collection date.,,No,No,,,,,No,No,1919-185,,,,6499759,010156635_108834_1685214.jpg,010156635_108834_1685214,1481581,10156635,Chalcidoidea,3279
3327434,17,8 - August - VIII,,The collection date is shown as a single date.,Not Shown,No,No,[unclear][/unclear],,,,No,No,1919-185,,,,6494094,010156636_108834_1685214.jpg,010156636_108834_1685214,1475774,10156636,Chalcidoidea,3279
3327435,23,,,The collection date is shown as a date range.,Not Shown,No,No,[unclear][/unclear],,,,No,No,19191-185,23,7 - July - VII,2008,6501876,010156637_108834_1685214.jpg,010156637_108834_1685214,1483697,10156637,Chalcidoidea,3279
3327436,28,6 - June - VI ,1911,The collection date is shown as a single date.,Not Shown,No,No,,,,,No,No,,,,,6497097,010156638_108834_1685214.jpg,010156638_108834_1685214,1478867,10156638,Chalcidoidea,3279
3327437,12,8 - August - VIII,1914,The collection date is shown as a single date.,United Kingdom,No,No,C. Waterhouse,,,,No,No,1919-185,,,,6498222,010156641_108834_1737739.jpg,010156641_108834_1737739,1480007,10156641,Chalcidoidea,3279
3327439,16,9 - September - IX,1986,The collection date is shown as a single date.,India,Yes,No,,,Brown plant hoppers eggs,,No,No,,,,,6501040,010156642_108834_1737739.jpg,010156642_108834_1737739,1482861,10156642,Chalcidoidea,3279
3327440,16,9 - September - IX,Only two digits shown,The collection date is shown as a single date.,India,Yes,No,Saed Farni[unclear][/unclear],,,,No,No,,,,,6496010,010156643_108834_1737739.jpg,010156643_108834_1737739,1477786,10156643,Chalcidoidea,3279
3327441,5,7 - July - VII,1982,The collection date is shown as a date range.,Scotland,,No,R. S. George,,,,No,No,,10,7 - July - VII,1982,6494739,010156644_108834_1737739.jpg,010156644_108834_1737739,1476523,10156644,Chalcidoidea,3279
3327442,5,7 - July - VII,1982,The collection date is shown as a date range.,Scotland,Yes,No,,,,,No,No,,10,7 - July - VII,1982,6502531,010156645_108834_1737739.jpg,010156645_108834_1737739,1484352,10156645,Chalcidoidea,3279
3327444,Not Shown,Not Shown,1992,The collection date is shown as a single date.,,Yes,No,[unclear][/unclear],[unclear][/unclear],Anagns,Brassica sativum,No,No,,,,,6497059,010156646_108834_1737739.jpg,010156646_108834_1737739,1478830,10156646,Chalcidoidea,3279
